#RA	Dec
190.458	6.782
190.458	5.785
189.499	5.785
189.499	4.836
188.524	4.836
188.524	4.836
187.570	4.836
187.570	4.836
186.616	4.836
186.616	4.836
185.641	4.836
185.641	5.787
184.681	5.787
184.681	6.736
183.716	6.736
183.716	7.735
183.707	7.735
183.707	8.682
183.695	8.682
183.695	9.585
182.719	9.585
182.719	10.583
182.703	10.583
182.703	11.486
181.713	11.486
181.713	12.484
181.690	12.484
181.690	13.486
182.643	13.486
182.643	14.385
182.621	14.385
182.621	15.384
183.583	15.384
183.583	16.336
184.551	16.336
184.551	17.286
185.565	17.286
185.565	17.284
186.558	17.284
186.558	17.285
187.527	17.285
187.527	18.234
188.566	18.234
188.566	17.286
189.534	17.286
189.534	17.285
190.528	17.285
190.528	17.286
191.541	17.286
191.541	16.329
192.512	16.329
192.512	15.335
192.491	15.335
192.491	14.435
193.451	14.435
193.451	13.436
193.430	13.436
193.430	12.484
193.410	12.484
193.410	11.532
193.392	11.532
193.392	10.537
192.422	10.537
192.422	9.631
192.399	9.631
192.399	8.636
191.428	8.636
191.428	7.687
190.463	7.687
190.463	6.782
190.458	6.782
