# Field	RA	Dec	NUV integration time	FUV integration time
GI5_048014_GAMA12_13209	12:00:00.00	+00:28:01.1	1568.2	1568.2
GI5_048015_GAMA12_13208	12:02:01.60	+01:19:47.8	1552.0	1552.0
GI1_077004_BDp172428	12:03:15.20	+16:41:10.8	2730.1	2730.1
GI3_103010_MKW4	12:03:57.70	+02:13:48.0	2212.1	2212.1
GI5_048017_GAMA12_13260	12:04:03.97	+00:29:07.1	1537.2	1537.2
GI4_042028_AOHI120446p103742	12:04:04.44	+10:48:37.5	1213.2	1213.2
GI1_079001_NGC4064	12:04:11.18	+18:26:36.3	3369.9	1691.0
MISDR1_13206_0516	12:06:04.28	+03:03:00.5	1557.1	0.0
GI5_048019_GAMA12_13259	12:06:05.51	+01:20:35.3	2990.2	2990.2
GI6_001094_GUVICS094_0001	12:06:48.00	+14:21:00.0	1668.6	0.0
GI6_001001_GUVICS001	12:07:59.58	+12:31:28.7	1820.0	0.0
MISDR1_13205_0517	12:08:05.54	+03:54:25.8	208.0	0.0
MISDR1_13258_0517	12:08:06.83	+02:11:56.3	3221.2	1544.1
GI5_048021_GAMA12_13312	12:08:08.97	+00:29:56.6	1677.0	1677.0
GI6_001002_GUVICS002	12:08:24.09	+13:14:13.4	2615.5	0.0
GI6_001003_GUVICS003_0001	12:09:36.00	+15:18:00.0	1614.0	0.0
GI6_001004_GUVICS004_0001	12:09:48.00	+14:09:00.0	1694.2	0.0
GI1_056011_NGC4147	12:10:06.20	+18:32:31.0	1678.0	1678.0
MISDR1_13257_0517	12:10:08.17	+03:03:08.8	223.0	0.0
MISDR1_13311_0287	12:10:10.23	+01:21:04.2	3370.4	1693.2
GI6_001005_GUVICS005	12:10:12.54	+11:40:00.5	1790.2	0.0
GI6_001006_GUVICS006_0001	12:11:19.20	+06:30:00.0	1642.1	0.0
GI6_001007_GUVICS007_0001	12:11:31.20	+16:04:48.0	1693.0	0.0
GI2_125022_AGESstrip1_22	12:11:36.00	+08:48:00.0	3130.0	1594.0
GI6_001008_GUVICS008	12:11:36.35	+05:41:13.4	1866.2	0.0
GI4_019003_SDSS1212p01	12:12:09.31	+01:36:27.7	13171.0	13171.0
MISDR1_13310_0517	12:12:11.48	+02:12:04.6	3099.3	1687.2
GI5_048023_GAMA12_13365	12:12:14.82	+00:30:25.5	1690.2	1690.2
GI6_001011_GUVICS011_0001	12:12:17.21	+12:31:41.5	1700.0	0.0
NGA_NGC4168	12:12:18.48	+13:12:35.5	2066.0	0.0
NGA_NGC4192	12:12:22.80	+14:54:17.2	1226.1	0.0
GI1_079002_NGC4178	12:12:46.57	+11:10:06.9	3499.5	2231.3
GI2_125021_AGESstrip1_21	12:12:48.00	+08:00:00.0	3287.2	1597.0
GI1_079003_NGC4189	12:13:47.26	+13:25:29.3	4865.4	1538.0
GI5_038015_IRASF12112p0305	12:13:47.30	+02:48:34.0	3701.2	3701.2
GI6_001012_GUVICS012_0001	12:14:00.00	+15:39:00.0	1690.1	0.0
GI2_125020_AGESstrip1_20	12:14:00.00	+07:06:00.0	3034.3	1520.2
GI6_001013_GUVICS013	12:14:01.72	+09:54:26.9	702.4	0.0
GI2_007006_S_121410p140127	12:14:10.00	+14:01:27.0	24304.0	15983.8
GI5_048025_GAMA12_13364	12:14:15.82	+01:21:10.4	1701.0	170.0
GI6_001014_GUVICS014_0001	12:14:17.45	+11:39:12.1	1668.2	0.0
GI6_001015_GUVICS015	12:14:40.80	+03:54:00.0	2681.5	0.0
VIRGO_SPEC_1	12:15:11.00	+13:06:00.0	2604.2	1672.0
GI6_001016_GUVICS016_0001	12:15:12.00	+05:30:00.0	1631.3	0.0
GI2_125019_AGESstrip1_19	12:15:12.00	+08:48:00.0	2930.2	1515.2
GI6_001017_GUVICS017_0001	12:15:24.00	+06:18:00.0	1657.0	0.0
GI2_125018_AGESstrip1_18	12:15:36.00	+08:00:00.0	3160.2	1556.2
GI1_080028_MCGp1_31_033	12:16:00.37	+04:39:03.5	3902.5	1639.2
GI6_001018_GUVICS018_0001	12:16:14.40	+16:24:00.0	1677.0	0.0
GI6_001019_GUVICS019_0001	12:16:17.46	+10:46:37.8	1670.2	0.0
GI5_048027_GAMA12_13419	12:16:21.46	+00:30:31.6	1693.0	1693.0
GI6_001020_GUVICS020_0001	12:16:22.60	+12:30:44.5	1679.4	0.0
GI6_001021_GUVICS021_0001	12:16:48.00	+14:01:48.0	1639.7	0.0
GI1_109020_NGC4235	12:17:09.90	+07:11:29.1	2897.2	1482.1
GI6_001022_GUVICS022_0001	12:17:12.00	+03:06:00.0	1689.2	0.0
GI6_001023_GUVICS023_0001	12:17:48.00	+09:15:00.0	1475.1	0.0
GI6_001023_GUVICS023_0002	12:17:48.00	+09:15:00.0	288.0	0.0
GI1_009021_UGC07332	12:17:56.70	+00:27:36.0	5396.1	1629.0
GI1_077009_Feige59	12:17:57.60	+15:38:42.0	1565.7	1565.7
GI6_001024_GUVICS024	12:18:14.40	+04:54:00.0	1606.2	0.0
GI6_001025_GUVICS025_0001	12:18:17.50	+09:54:02.3	1706.0	0.0
GI6_001026_GUVICS026_0001	12:18:22.16	+11:38:02.6	1612.2	0.0
GI1_077001_BDp192550	12:18:23.90	+19:08:51.9	1645.0	1645.0
GI6_001027_GUVICS027_0001	12:18:48.00	+13:24:00.0	1696.0	0.0
GI6_001028_GUVICS028_0001	12:19:00.00	+16:33:00.0	1680.0	0.0
GI6_001029_GUVICS029_0001	12:19:00.00	+03:52:48.0	1684.2	0.0
GI2_125016_AGESstrip1_16	12:19:12.00	+08:00:00.0	1482.1	1482.1
GI4_012001_PG1216p069	12:19:20.90	+06:38:38.4	33699.8	30170.3
GI3_079021_NGC4261	12:19:23.00	+05:49:31.0	1655.0	1655.0
GI2_017001_J121754p144525	12:19:24.48	+14:36:00.0	27726.0	18131.3
VIRGOHI21	12:19:24.48	+14:36:00.0	18571.3	0.0
GI1_077007_HD107227	12:19:44.80	+08:40:56.3	3051.4	1500.3
GI4_042074_J122100p124340	12:19:53.30	+12:36:41.5	1209.0	1209.0
GI2_125015_AGESstrip1_15	12:20:00.00	+07:06:00.0	6512.6	1677.2
GI6_001030_GUVICS030_0001	12:20:21.71	+10:45:15.9	1699.0	0.0
GI6_001031_GUVICS031_0001	12:20:36.00	+14:09:36.0	1690.0	0.0
GI6_001032_GUVICS032_0001	12:20:38.40	+15:36:00.0	1692.0	0.0
